2539329,413874160000,1
2539329,721406337760,1
2539329,842532696300,1
2398795,780000053100,1
2093029,706508001200,1
2254736,544000127700,1
1426667,842532696300,1
1426667,366320290600,1
3367565,253674707083,1
5501352,415700561700,1
3108588,842532696300,1
2295261,714483001400,1
2550362,763012401480,1
1187899,253176680000,1
2168274,721406337760,1
1501582,130087259200,1
1901567,613008720850,1
7382813,278150020500,1
1673511,466000338400,1
1199898,170000095000,1
3194192,734101350600,1
7883384,766066914300,1
1718559,734101350600,1
9833743,278150020500,1
2833233,466000338400,1
